,time,id,delay,latitude,longitude
0,2018-04-09 18:46:55.730718,MD-W_MW2227_V1_C,540,42.05701446533203,-88.2976303100586
1,2018-04-09 18:46:55.739741,UP-W_UW56_V1_C,0,41.88817596435547,-87.64095306396484
2,2018-04-09 18:46:55.749848,NCS_NC109_V1_C,240,42.32213973999024,-88.0207290649414
3,2018-04-09 18:46:55.757819,UP-W_UW45_V1_C,0,41.88167572021485,-88.30635833740234
4,2018-04-09 18:46:55.765808,MD-N_MN2146_V1_C,360,41.88846206665039,-87.6855239868164
5,2018-04-09 18:46:55.771876,MD-N_MN2129_V1_C,240,42.33200454711914,-88.03899383544922
6,2018-04-09 18:46:55.778842,UP-NW_UNW629_V1_C,480,42.14738845825195,-88.12161254882812
7,2018-04-09 18:46:55.785935,RI_RI611_V1_C,1380,41.671043395996094,-87.67350006103516
8,2018-04-09 18:46:55.790879,UP-NW_UNW631_V1_C,120,42.22557067871094,-88.27833557128906
9,2018-04-09 18:46:55.796963,HC_HC917_V1_C,600,41.63772583007813,-88.04931640625
10,2018-04-09 18:46:55.803908,MD-N_MN2131_V1_C,0,42.28625106811523,-87.9332504272461
11,2018-04-09 18:46:55.809952,UP-NW_UNW633_V1_C,240,42.11262893676758,-88.04793548583984
12,2018-04-09 18:46:55.816943,BNSF_BN1253_V1_C,300,41.79561233520508,-88.00914764404297
13,2018-04-09 18:46:55.824021,MD-W_MW2231_V1_C,180,41.99932098388672,-88.21126556396484
14,2018-04-09 18:46:55.831052,RI_RI413_V1_C,180,41.51462936401367,-87.96427917480469
15,2018-04-09 18:46:55.838071,RI_RI303_V1_C,60,41.578224182128906,-87.77760314941406
16,2018-04-09 18:46:55.844082,MD-W_MW2233_V1_C,60,41.98928833007813,-88.11801147460938
17,2018-04-09 18:46:55.851085,UP-NW_UNW635_V1_C,180,42.126312255859375,-88.07846069335938
18,2018-04-09 18:46:55.857129,UP-W_UW47_V1_C,120,41.87115478515625,-88.16181182861328
19,2018-04-09 18:46:55.863124,SWS_SW825_V1_C,0,41.66976165771485,-87.81966400146484
20,2018-04-09 18:46:55.870085,RI_RI613_V1_C,540,41.69875717163086,-87.66983032226562
21,2018-04-09 18:46:55.876171,BNSF_BN1259_V1_C,120,41.78755187988281,-88.1131362915039
22,2018-04-09 18:46:55.883119,ME_ME705_V1_C,0,41.49742889404297,-87.70309448242188
23,2018-04-09 18:46:55.889136,NCS_NC118_V2_C,0,42.143226623535156,-87.93006896972656
24,2018-04-09 18:46:55.891169,UP-N_UN341_V1_C,60,42.22028350830078,-87.82327270507812
25,2018-04-09 18:46:55.898160,UP-W_UW49_V1_C,120,41.875938415527344,-88.06854248046875
26,2018-04-09 18:46:55.901168,MD-W_MW2246_V1_C,120,41.96454620361328,-87.98123168945312
27,2018-04-09 18:46:55.908186,UP-N_UN343_V1_C,240,42.1307487487793,-87.75420379638672
28,2018-04-09 18:46:55.914201,MD-W_MW2235_V1_C,0,41.97721481323242,-88.04560852050781
29,2018-04-09 18:46:55.916208,RI_RI415_V1_C,120,41.611236572265625,-87.73030853271484
30,2018-04-09 18:46:55.922223,ME_ME505_V1_C,180,41.674278259277344,-87.63179779052734
31,2018-04-09 18:46:55.928594,UP-NW_UNW639_V1_C,180,41.893287658691406,-87.64756774902344
32,2018-04-09 18:46:55.936261,UP-W_UW51_V1_C,120,41.8964729309082,-87.97652435302734
33,2018-04-09 18:46:55.942278,BNSF_BN1265_V1_C,180,41.81090927124024,-87.89341735839844
34,2018-04-09 18:46:55.949295,UP-N_UN345_V1_C,180,42.06912612915039,-87.70250701904297
35,2018-04-09 18:46:55.955337,SWS_SW827_V1_C,0,41.74646377563477,-87.70684051513672
36,2018-04-09 18:46:55.961328,MD-N_MN2135_V1_C,180,42.097938537597656,-87.81587219238281
37,2018-04-09 18:46:55.966341,UP-W_UW53_V1_C,240,41.89015579223633,-87.85513305664062
38,2018-04-09 18:46:55.972403,RI_RI615_V1_C,360,41.73223876953125,-87.65917205810547
39,2018-04-09 18:46:55.978437,BNSF_BN1288_V1_C,0,41.795509338378906,-88.01612854003906
40,2018-04-09 18:46:55.981506,MD-N_MN2148_V1_C,120,41.981407165527344,-87.75724792480469
41,2018-04-09 18:46:55.989446,RI_RI524_V1_C,0,41.57654571533203,-87.7816390991211
